Date,Open,High,Low,Close,Adj Close,Volume
2021-04-25,0.099087,0.105451,0.088003,0.095294,0.095294,58640019
2021-04-26,0.095718,0.147431,0.095181,0.136242,0.136242,393016795
2021-04-27,0.136238,0.151880,0.132124,0.141990,0.141990,215999382
2021-04-28,0.141923,0.151796,0.126346,0.132698,0.132698,159622238
2021-04-29,0.132567,0.144991,0.125338,0.132446,0.132446,138274657
2021-04-30,0.132360,0.159524,0.129926,0.151992,0.151992,230462634
2021-05-01,0.152523,0.152523,0.142673,0.145965,0.145965,100493015
2021-05-02,0.145917,0.146412,0.136447,0.140369,0.140369,71725066
2021-05-03,0.140170,0.149896,0.138765,0.141542,0.141542,92458675
2021-05-04,0.141305,0.141471,0.119967,0.122701,0.122701,122809655
2021-05-05,0.122412,0.137357,0.120752,0.130904,0.130904,109837608
2021-05-06,0.130749,0.132345,0.123407,0.127269,0.127269,89961810
2021-05-07,0.127548,0.140037,0.124161,0.130204,0.130204,124116174
2021-05-08,0.130253,0.133762,0.125623,0.127256,0.127256,60847317
2021-05-09,0.127330,0.130004,0.119976,0.130004,0.130004,77007701
2021-05-10,0.130898,0.151288,0.110979,0.121456,0.121456,227069037
2021-05-11,0.120740,0.129674,0.116507,0.124611,0.124611,100002911
2021-05-12,0.124581,0.131455,0.105653,0.105653,0.105653,103212226
2021-05-13,0.106561,0.115637,0.099379,0.108751,0.108751,120462457
2021-05-14,0.108809,0.124078,0.108171,0.115505,0.115505,104707845
2021-05-15,0.115375,0.175731,0.113153,0.158359,0.158359,632824735
2021-05-16,0.157758,0.183560,0.145520,0.148992,0.148992,680807677
2021-05-17,0.148976,0.163859,0.132017,0.134588,0.134588,346650416
2021-05-18,0.134356,0.188374,0.134356,0.175934,0.175934,653139346
2021-05-19,0.175958,0.176809,0.075239,0.108435,0.108435,517005397
2021-05-20,0.107524,0.140127,0.095843,0.122395,0.122395,308582977
2021-05-21,0.121368,0.128097,0.084324,0.104415,0.104415,203445302
2021-05-22,0.104877,0.108330,0.088563,0.089313,0.089313,103088125
2021-05-23,0.089321,0.093933,0.058154,0.081225,0.081225,156130549
2021-05-24,0.080671,0.118797,0.080671,0.107966,0.107966,295363750
2021-05-25,0.107844,0.118835,0.094026,0.103977,0.103977,160800888
2021-05-26,0.104427,0.119822,0.101171,0.112260,0.112260,166090574
2021-05-27,0.112765,0.117878,0.098293,0.104319,0.104319,148820600
2021-05-28,0.104759,0.108302,0.086514,0.090896,0.090896,125356652
2021-05-29,0.090449,0.094361,0.077665,0.082913,0.082913,86448788
2021-05-30,0.082873,0.101150,0.078309,0.092756,0.092756,117396397
2021-05-31,0.092944,0.103756,0.087410,0.101544,0.101544,111453427
2021-06-01,0.101421,0.105329,0.096010,0.097402,0.097402,71178768
2021-06-02,0.097404,0.104303,0.095345,0.101203,0.101203,59700213
2021-06-03,0.101582,0.114704,0.099309,0.110023,0.110023,79277866
2021-06-04,0.110031,0.110081,0.091459,0.098336,0.098336,98550339
2021-06-05,0.098549,0.102686,0.089046,0.092449,0.092449,75989152
2021-06-06,0.092400,0.097846,0.091933,0.096393,0.096393,33118998
2021-06-07,0.096335,0.101993,0.085373,0.085685,0.085685,59894920
2021-06-08,0.086063,0.089743,0.078189,0.086088,0.086088,72448931
2021-06-09,0.085929,0.091170,0.080725,0.090936,0.090936,56662578
2021-06-10,0.090988,0.091015,0.080316,0.082554,0.082554,44735174
2021-06-11,0.082650,0.084444,0.076271,0.078562,0.078562,39597749
2021-06-12,0.078667,0.078667,0.072893,0.076834,0.076834,39369340
2021-06-13,0.076817,0.086126,0.075480,0.082306,0.082306,39625982
2021-06-14,0.082301,0.086196,0.080443,0.083358,0.083358,37691987
2021-06-15,0.083141,0.086693,0.082191,0.085031,0.085031,39510291
2021-06-16,0.083634,0.083936,0.078648,0.080626,0.080626,34414816
2021-06-17,0.080540,0.082807,0.077754,0.080066,0.080066,20161418
2021-06-18,0.080195,0.080195,0.071678,0.073818,0.073818,30072964
2021-06-19,0.073764,0.074695,0.071692,0.072013,0.072013,19154198
2021-06-20,0.071766,0.073535,0.066862,0.072977,0.072977,24003001
2021-06-21,0.072777,0.073173,0.055878,0.056877,0.056877,49041482
2021-06-22,0.056689,0.062302,0.047237,0.051825,0.051825,63593335
2021-06-23,0.051843,0.063196,0.049818,0.059910,0.059910,54762953
2021-06-24,0.059365,0.061893,0.055847,0.060379,0.060379,24550648
2021-06-25,0.060442,0.062199,0.054615,0.055596,0.055596,26824817
2021-06-26,0.055417,0.058986,0.053079,0.058816,0.058816,29536344
2021-06-27,0.058918,0.068269,0.058689,0.067558,0.067558,62210737
2021-06-28,0.067554,0.069077,0.063883,0.065175,0.065175,27220576
2021-06-29,0.065304,0.070485,0.065240,0.065652,0.065652,28848887
2021-06-30,0.065979,0.067314,0.062061,0.067077,0.067077,30284964
2021-07-01,0.067152,0.067152,0.061096,0.063424,0.063424,18637898
2021-07-02,0.063295,0.064327,0.060579,0.062717,0.062717,13352408
2021-07-03,0.062713,0.066593,0.062072,0.064488,0.064488,16762333
2021-07-04,0.064485,0.068907,0.062668,0.066738,0.066738,15263530
2021-07-05,0.066745,0.066745,0.062263,0.062959,0.062959,14918883
2021-07-06,0.063113,0.073002,0.063113,0.072198,0.072198,48626120
2021-07-07,0.072174,0.093587,0.071138,0.084231,0.084231,162325810
2021-07-08,0.084273,0.092025,0.077718,0.081741,0.081741,96115821
2021-07-09,0.081276,0.089943,0.076855,0.089148,0.089148,83960885
2021-07-10,0.089464,0.091089,0.080883,0.082432,0.082432,34043141
2021-07-11,0.082365,0.084057,0.080335,0.082102,0.082102,23470015
2021-07-12,0.082099,0.082253,0.076353,0.078717,0.078717,29845281
2021-07-13,0.078809,0.086142,0.077229,0.082353,0.082353,57556329
2021-07-14,0.082431,0.083123,0.074236,0.079651,0.079651,33520048
2021-07-15,0.079698,0.081723,0.072208,0.073439,0.073439,29203617
2021-07-16,0.073449,0.075561,0.067094,0.067308,0.067308,26494038
2021-07-17,0.067169,0.068609,0.065449,0.066070,0.066070,16831369
2021-07-18,0.066107,0.068584,0.063883,0.064574,0.064574,14867911
2021-07-19,0.064532,0.065327,0.059021,0.059021,0.059021,17543056
2021-07-20,0.059343,0.060185,0.054056,0.056954,0.056954,23357455
2021-07-21,0.056888,0.066112,0.054986,0.063585,0.063585,33361764
2021-07-22,0.063795,0.067711,0.062398,0.064494,0.064494,28021239
2021-07-23,0.064483,0.069719,0.062755,0.069719,0.069719,22373144
2021-07-24,0.069849,0.075021,0.068982,0.072737,0.072737,37270457
2021-07-25,0.072667,0.073379,0.069022,0.072420,0.072420,14839548
2021-07-26,0.072571,0.082299,0.072074,0.072765,0.072765,53697443
2021-07-27,0.072867,0.076822,0.070210,0.074870,0.074870,29634696
2021-07-28,0.075017,0.075017,0.070652,0.071816,0.071816,21445377
2021-07-29,0.071916,0.074629,0.070738,0.073598,0.073598,16445855
2021-07-30,0.073798,0.076767,0.071670,0.076646,0.076646,23060696
2021-07-31,0.076422,0.079827,0.074821,0.078661,0.078661,29336328
2021-08-01,0.078470,0.083428,0.075420,0.076276,0.076276,33013113
2021-08-02,0.076238,0.079067,0.074657,0.077509,0.077509,17331374
2021-08-03,0.077443,0.078718,0.072150,0.073332,0.073332,21274113
2021-08-04,0.073760,0.078383,0.072671,0.077859,0.077859,19394250
2021-08-05,0.077951,0.078164,0.074073,0.077873,0.077873,20780556
2021-08-06,0.077797,0.081616,0.076048,0.080426,0.080426,26890767
2021-08-07,0.080805,0.084969,0.079895,0.083576,0.083576,39509551
2021-08-08,0.083936,0.086669,0.080523,0.081289,0.081289,42605823
2021-08-09,0.081250,0.093913,0.077969,0.093651,0.093651,66957029
2021-08-10,0.093483,0.098228,0.087673,0.091308,0.091308,79501631
2021-08-11,0.091261,0.101787,0.091080,0.098295,0.098295,79861824
2021-08-12,0.098086,0.101501,0.088507,0.092394,0.092394,51454750
2021-08-13,0.092619,0.098978,0.091847,0.098250,0.098250,42286162
2021-08-14,0.098235,0.101640,0.095374,0.098119,0.098119,50038073
2021-08-15,0.098009,0.110047,0.095115,0.108147,0.108147,69157607
2021-08-16,0.108330,0.119041,0.103049,0.104184,0.104184,131971449
2021-08-17,0.103893,0.109189,0.094456,0.095409,0.095409,65856423
2021-08-18,0.095421,0.101935,0.091337,0.097614,0.097614,59163379
2021-08-19,0.097491,0.102861,0.092685,0.101131,0.101131,48653523
2021-08-20,0.101110,0.115129,0.100095,0.110706,0.110706,100661476
2021-08-21,0.110809,0.112288,0.104845,0.108739,0.108739,73627146
2021-08-22,0.108792,0.124030,0.108689,0.115928,0.115928,126982939
2021-08-23,0.115742,0.123168,0.113700,0.115692,0.115692,68867750
2021-08-24,0.115725,0.118573,0.104329,0.106877,0.106877,79948055
2021-08-25,0.106670,0.112837,0.103010,0.109370,0.109370,51565581
2021-08-26,0.109441,0.110767,0.098219,0.099178,0.099178,51373809
2021-08-27,0.098880,0.105403,0.094931,0.105224,0.105224,48957117
2021-08-28,0.105287,0.105588,0.099471,0.100152,0.100152,29616119
